id,name,category,x,y,visitorReviewCount,visitorReviewScore,searchName
13357149,마이시크릿메이트,"카페,디저트",126.93912,37.55823,154,-1.0,마이시크릿메이트
1131356691,제일커피,테이크아웃커피,126.9717,37.4832,121,4.52,제일커피
-2,-2,-2,-2.0,-2.0,-2,-2.0,CACAOCLOCK카카오클락 카카오클락
1416876625,디자인안도,인테리어디자인,127.01164,37.591473,-1,-1.0,ANDO
-2,-2,-2,-2.0,-2.0,-2,-2.0,더북이대점 이대점
36734407,이정아 갤러리,"갤러리,화랑",126.97478,37.61217,13,4.31,카페라파미
-2,-2,-2,-2.0,-2.0,-2,-2.0,커피에반하다신림역점신림역점 신림역점
20557383,카페원더,카페,127.03988,37.48433,232,4.46,CAFEWONDER카페원더 카페원더
-2,-2,-2,-2.0,-2.0,-2,-2.0,커플팔찌만들기STAY
1038526987,만동제과,베이커리,126.92726,37.561527,3117,4.5,만동제과
1298516321,오토카페,"카페,디저트",127.05942,37.548126,2,-1.0,오토카페
-2,-2,-2,-2.0,-2.0,-2,-2.0,COFFEEBEAN영동2교사거리점 영동2교사거리점
37997828,박남커피,"카페,디저트",126.906,37.553436,43,4.35,명인박남커피 박남커피
-2,-2,-2,-2.0,-2.0,-2,-2.0,아마스빈코리아목동파리공원점 목동파리공원점
34354822,지브릭커피,"카페,디저트",126.93538,37.637337,658,4.33,지브릭커피
21688074,토프레소 석관점,카페,127.0604,37.604492,55,4.33,토프레소 석관점
-2,-2,-2,-2.0,-2.0,-2,-2.0,까페띠아모
21290337,카페서로,카페,126.976524,37.24266,75,4.36,카페서로
32779383,커피니 종합운동장역점,카페,127.07367,37.511063,303,4.45,커피니종합운동장역점 종합운동장역점
21700982,난곡제과,베이커리,126.92021,37.465855,13,4.58,난곡제과
-2,-2,-2,-2.0,-2.0,-2,-2.0,그라찌에 국민대학교과학관
37525511,라온커피,카페,127.04037,37.560486,243,4.44,라온커피
1800008985,카페페이버릿컬러,카페,126.95394,37.39064,236,4.63,칼라커피숍
-2,-2,-2,-2.0,-2.0,-2,-2.0,스(HUFS)동문커피
1113750818,달콤퐁당,"카페,디저트",126.88259,35.17578,3,-1.0,달콤퐁당
